PID	title	project_type	PI	description	aperture_upper_limit	aperture_lower_limit	FoV_upper_limit	FoV_lower_limit	pixel_scale_upper_limit_(/pix)	pixel_scale_lower_limit_(/pix)	mount_type(german,fork,theodolite)	camera_type_(colored,mono)	camera_type(cooled,uncooled)	Johnson_B	Johnson_V	Johnson_R	SDSS_u	SDSS_g	SDSS_r	SDSS_i	SDSS_z
186	Observe Supernova 40	regular	491	Observe Supernova 40 63 times	30	30	600	1	3	0.1	theodolite	mono	cooled	y	n	y	y	y	n	y	y
187	Observe Exoplanets 56	regular	150	Observe Exoplanets 56 52 times	30	30	600	1	3	0.1	fork	colored	uncooled	y	y	y	y	y	y	y	n
188	Observe Star 25	regular	222	Observe Star 25 12 times	30	30	600	1	3	0.1	fork	colored	cooled	y	y	y	y	n	y	y	n
189	Observe Exoplanets 57	regular	981	Observe Exoplanets 57 87 times	30	30	600	1	3	0.1	fork	colored	cooled	y	y	y	n	y	y	y	y
190	Observe Supernova 41	regular	753	Observe Supernova 41 41 times	30	30	600	1	3	0.1	fork	mono	cooled	n	y	n	y	y	n	y	y
191	Observe Exoplanets 58	regular	419	Observe Exoplanets 58 44 times	30	30	600	1	3	0.1	fork	mono	uncooled	y	y	n	y	n	y	y	y
192	Observe Exoplanets 59	regular	858	Observe Exoplanets 59 26 times	30	30	600	1	3	0.1	german	mono	cooled	y	y	y	y	y	y	y	y
193	Observe Exoplanets 60	regular	395	Observe Exoplanets 60 97 times	30	30	600	1	3	0.1	fork	mono	uncooled	y	y	y	y	y	y	y	n
194	Observe Exoplanets 61	transient	134	Observe Exoplanets 61 67 times	30	30	600	1	3	0.1	fork	mono	cooled	y	n	y	y	n	y	y	n
195	Observe Asteriods 15	regular	467	Observe Asteriods 15 76 times	30	30	600	1	3	0.1	german	mono	cooled	y	y	n	y	y	y	y	y
196	Observe GRB 16	regular	821	Observe GRB 16 9 times	30	30	600	1	3	0.1	fork	colored	cooled	n	y	y	y	y	y	y	n
197	Observe Exoplanets 62	regular	265	Observe Exoplanets 62 17 times	30	30	600	1	3	0.1	fork	mono	cooled	y	y	n	y	y	y	y	y
198	Observe Supernova 42	target_of_opportunity	94	Observe Supernova 42 95 times	30	30	600	1	3	0.1	german	mono	cooled	n	y	y	y	y	y	y	y
199	Observe GRB 17	target_of_opportunity	428	Observe GRB 17 86 times	30	30	600	1	3	0.1	german	mono	cooled	y	n	n	y	y	y	y	y
200	Observe Galaxy 30	regular	630	Observe Galaxy 30 99 times	30	30	600	1	3	0.1	theodolite	mono	uncooled	y	y	y	y	y	y	n	n
201	Observe GRB 18	regular	45	Observe GRB 18 96 times	30	30	600	1	3	0.1	theodolite	mono	uncooled	y	y	n	y	y	y	y	y
202	Observe Star 26	regular	104	Observe Star 26 7 times	30	30	600	1	3	0.1	german	mono	cooled	y	n	y	y	n	y	y	y
203	Observe Exoplanets 63	regular	38	Observe Exoplanets 63 26 times	30	30	600	1	3	0.1	german	colored	uncooled	y	y	n	n	y	y	n	n
204	Observe Exoplanets 64	regular	860	Observe Exoplanets 64 41 times	30	30	600	1	3	0.1	german	mono	cooled	n	y	y	y	y	y	y	y
205	Observe Star 27	regular	738	Observe Star 27 30 times	30	30	600	1	3	0.1	fork	mono	uncooled	n	y	y	y	n	y	y	y
206	Observe Exoplanets 65	transient	156	Observe Exoplanets 65 21 times	30	30	600	1	3	0.1	german	mono	cooled	n	y	y	y	y	y	y	n
207	Observe Exoplanets 66	transient	332	Observe Exoplanets 66 38 times	30	30	600	1	3	0.1	fork	mono	uncooled	y	n	n	y	y	y	y	y
208	Observe Asteriods 16	regular	730	Observe Asteriods 16 97 times	30	30	600	1	3	0.1	fork	colored	cooled	y	y	n	n	y	y	y	y
209	Observe Star 28	regular	134	Observe Star 28 91 times	30	30	600	1	3	0.1	german	mono	cooled	y	n	y	y	y	y	y	y
210	Observe Galaxy 31	regular	565	Observe Galaxy 31 2 times	30	30	600	1	3	0.1	theodolite	mono	cooled	y	y	y	n	y	y	y	y
211	Observe Supernova 43	regular	161	Observe Supernova 43 94 times	30	30	600	1	3	0.1	theodolite	mono	uncooled	n	y	n	y	y	y	n	y
212	Observe Galaxy 32	regular	517	Observe Galaxy 32 42 times	30	30	600	1	3	0.1	theodolite	mono	uncooled	y	y	y	y	n	y	y	y
213	Observe Exoplanets 67	regular	425	Observe Exoplanets 67 74 times	30	30	600	1	3	0.1	theodolite	mono	uncooled	y	y	y	n	y	y	y	y
214	Observe Comet 11	regular	727	Observe Comet 11 66 times	30	30	600	1	3	0.1	fork	mono	cooled	y	y	y	y	y	y	y	y
215	Observe Asteriods 17	regular	251	Observe Asteriods 17 67 times	30	30	600	1	3	0.1	fork	mono	cooled	y	y	n	n	n	y	y	y
216	Observe Supernova 44	regular	397	Observe Supernova 44 38 times	30	30	600	1	3	0.1	fork	mono	cooled	y	y	y	n	y	n	y	y
217	Observe GRB 19	regular	73	Observe GRB 19 17 times	30	30	600	1	3	0.1	theodolite	mono	cooled	y	y	y	n	y	y	y	y
218	Observe Exoplanets 68	regular	150	Observe Exoplanets 68 84 times	30	30	600	1	3	0.1	fork	mono	uncooled	n	y	y	y	y	y	y	y
219	Observe Galaxy 33	regular	968	Observe Galaxy 33 10 times	30	30	600	1	3	0.1	fork	mono	cooled	y	y	y	n	y	n	y	n
220	Observe Supernova 45	regular	348	Observe Supernova 45 84 times	30	30	600	1	3	0.1	fork	mono	cooled	y	y	y	y	y	y	n	n
221	Observe Supernova 46	target_of_opportunity	332	Observe Supernova 46 23 times	30	30	600	1	3	0.1	theodolite	mono	cooled	y	y	n	y	y	y	y	n
222	Observe Comet 12	regular	598	Observe Comet 12 45 times	30	30	600	1	3	0.1	fork	colored	cooled	y	n	y	y	y	y	y	y
223	Observe Supernova 47	target_of_opportunity	897	Observe Supernova 47 20 times	30	30	600	1	3	0.1	fork	colored	uncooled	y	y	n	n	y	y	y	y
224	Observe Supernova 48	regular	279	Observe Supernova 48 3 times	30	30	600	1	3	0.1	german	colored	cooled	n	y	y	y	y	y	y	y
225	Observe GRB 20	transient	900	Observe GRB 20 70 times	30	30	600	1	3	0.1	german	mono	cooled	n	y	y	y	y	y	y	n
226	Observe Star 29	regular	501	Observe Star 29 70 times	30	30	600	1	3	0.1	fork	mono	cooled	y	y	y	n	y	n	y	y
227	Observe Star 30	transient	99	Observe Star 30 3 times	30	30	600	1	3	0.1	german	mono	cooled	y	n	n	y	y	n	y	y
228	Observe Supernova 49	regular	949	Observe Supernova 49 34 times	30	30	600	1	3	0.1	fork	colored	uncooled	y	y	y	n	y	y	n	y
229	Observe GRB 21	regular	623	Observe GRB 21 69 times	30	30	600	1	3	0.1	fork	mono	uncooled	n	y	y	y	y	y	y	y
230	Observe Star 31	transient	760	Observe Star 31 93 times	30	30	600	1	3	0.1	fork	mono	uncooled	y	y	y	y	y	y	y	y
231	Observe Exoplanets 69	regular	726	Observe Exoplanets 69 60 times	30	30	600	1	3	0.1	fork	mono	uncooled	y	y	y	y	y	n	y	y
232	Observe Exoplanets 70	regular	129	Observe Exoplanets 70 40 times	30	30	600	1	3	0.1	theodolite	mono	cooled	y	y	y	y	y	y	y	y
233	Observe Galaxy 34	transient	272	Observe Galaxy 34 62 times	30	30	600	1	3	0.1	fork	mono	cooled	y	y	y	y	y	y	y	y
234	Observe Exoplanets 71	regular	660	Observe Exoplanets 71 29 times	30	30	600	1	3	0.1	theodolite	colored	uncooled	y	y	y	y	y	y	y	n
235	Observe Asteriods 18	target_of_opportunity	970	Observe Asteriods 18 0 times	30	30	600	1	3	0.1	german	mono	cooled	y	y	n	y	y	y	y	y
236	Observe Exoplanets 72	regular	128	Observe Exoplanets 72 62 times	30	30	600	1	3	0.1	german	mono	cooled	y	n	y	n	n	n	y	y
237	Observe Supernova 50	regular	596	Observe Supernova 50 94 times	30	30	600	1	3	0.1	fork	colored	uncooled	y	y	y	y	y	n	y	n
238	Observe Supernova 51	transient	865	Observe Supernova 51 37 times	30	30	600	1	3	0.1	german	colored	uncooled	y	y	y	y	y	y	y	y
239	Observe Asteriods 19	regular	549	Observe Asteriods 19 73 times	30	30	600	1	3	0.1	fork	colored	uncooled	y	n	y	y	y	y	y	y
240	Observe GRB 22	regular	950	Observe GRB 22 45 times	30	30	600	1	3	0.1	fork	mono	uncooled	y	y	y	y	y	y	y	y
241	Observe Galaxy 35	regular	532	Observe Galaxy 35 21 times	30	30	600	1	3	0.1	german	mono	cooled	y	y	y	y	y	y	y	y
242	Observe Exoplanets 73	regular	265	Observe Exoplanets 73 73 times	30	30	600	1	3	0.1	fork	colored	uncooled	y	y	y	y	y	y	y	n
243	Observe Comet 13	regular	698	Observe Comet 13 98 times	30	30	600	1	3	0.1	fork	mono	uncooled	y	n	y	y	y	y	y	y
244	Observe Exoplanets 74	regular	729	Observe Exoplanets 74 85 times	30	30	600	1	3	0.1	fork	mono	cooled	n	n	y	y	n	y	y	y
245	Observe Supernova 52	transient	156	Observe Supernova 52 3 times	30	30	600	1	3	0.1	theodolite	mono	cooled	y	n	y	y	y	y	y	y
246	Observe Comet 14	regular	466	Observe Comet 14 55 times	30	30	600	1	3	0.1	fork	mono	uncooled	y	y	y	y	y	y	n	n
247	Observe Galaxy 36	transient	352	Observe Galaxy 36 95 times	30	30	600	1	3	0.1	theodolite	colored	cooled	n	y	y	y	y	y	y	y
248	Observe Exoplanets 75	transient	672	Observe Exoplanets 75 28 times	30	30	600	1	3	0.1	fork	mono	uncooled	y	y	y	y	y	y	y	y
249	Observe Galaxy 37	transient	118	Observe Galaxy 37 22 times	30	30	600	1	3	0.1	fork	colored	cooled	y	y	y	y	y	y	y	y
250	Observe Supernova 53	regular	68	Observe Supernova 53 56 times	30	30	600	1	3	0.1	german	colored	uncooled	y	y	y	y	y	n	y	y
251	Observe Exoplanets 76	regular	306	Observe Exoplanets 76 55 times	30	30	600	1	3	0.1	german	mono	cooled	y	n	y	y	y	y	n	y
252	Observe Asteriods 20	transient	151	Observe Asteriods 20 81 times	30	30	600	1	3	0.1	fork	mono	cooled	y	y	y	y	n	n	n	n
253	Observe Supernova 54	regular	852	Observe Supernova 54 83 times	30	30	600	1	3	0.1	german	mono	cooled	y	y	y	y	y	n	y	y
254	Observe Exoplanets 77	transient	789	Observe Exoplanets 77 10 times	30	30	600	1	3	0.1	fork	mono	cooled	n	y	y	y	y	y	y	n
255	Observe Exoplanets 78	regular	978	Observe Exoplanets 78 66 times	30	30	600	1	3	0.1	fork	colored	cooled	y	y	y	y	y	y	y	y
256	Observe GRB 23	regular	989	Observe GRB 23 76 times	30	30	600	1	3	0.1	german	colored	cooled	n	y	y	y	y	y	y	y
257	Observe Exoplanets 79	target_of_opportunity	287	Observe Exoplanets 79 55 times	30	30	600	1	3	0.1	fork	mono	cooled	y	y	n	n	n	y	n	y
258	Observe Star 32	regular	570	Observe Star 32 48 times	30	30	600	1	3	0.1	fork	mono	cooled	y	n	n	y	y	n	n	y
259	Observe Exoplanets 80	regular	578	Observe Exoplanets 80 43 times	30	30	600	1	3	0.1	theodolite	mono	uncooled	y	y	y	n	y	y	y	y
260	Observe Supernova 55	regular	398	Observe Supernova 55 93 times	30	30	600	1	3	0.1	german	mono	cooled	y	y	y	n	y	y	y	n
261	Observe GRB 24	regular	219	Observe GRB 24 44 times	30	30	600	1	3	0.1	theodolite	colored	uncooled	y	y	y	n	y	y	y	y
262	Observe Star 33	regular	613	Observe Star 33 94 times	30	30	600	1	3	0.1	fork	mono	cooled	y	y	y	n	y	y	y	n
263	Observe Exoplanets 81	regular	220	Observe Exoplanets 81 56 times	30	30	600	1	3	0.1	german	mono	cooled	y	y	y	y	y	y	n	y
264	Observe Exoplanets 82	regular	381	Observe Exoplanets 82 63 times	30	30	600	1	3	0.1	fork	colored	cooled	n	y	y	y	y	y	y	y
265	Observe Exoplanets 83	target_of_opportunity	515	Observe Exoplanets 83 77 times	30	30	600	1	3	0.1	german	mono	uncooled	y	y	y	y	y	y	y	n
266	Observe Exoplanets 84	regular	508	Observe Exoplanets 84 17 times	30	30	600	1	3	0.1	fork	mono	uncooled	y	y	y	y	y	y	y	y
267	Observe Exoplanets 85	transient	993	Observe Exoplanets 85 18 times	30	30	600	1	3	0.1	german	mono	uncooled	y	y	n	y	y	y	y	y
268	Observe Exoplanets 86	regular	0	Observe Exoplanets 86 98 times	30	30	600	1	3	0.1	fork	mono	cooled	n	y	n	y	y	y	n	y
269	Observe Exoplanets 87	regular	72	Observe Exoplanets 87 65 times	30	30	600	1	3	0.1	theodolite	mono	uncooled	y	y	y	y	y	y	y	y
270	Observe Supernova 56	regular	631	Observe Supernova 56 35 times	30	30	600	1	3	0.1	theodolite	colored	cooled	y	n	y	y	y	n	y	y
271	Observe Asteriods 21	regular	107	Observe Asteriods 21 63 times	30	30	600	1	3	0.1	fork	mono	cooled	y	y	y	y	y	y	y	y
272	Observe Supernova 57	regular	667	Observe Supernova 57 54 times	30	30	600	1	3	0.1	fork	mono	cooled	y	y	n	y	y	y	y	y
273	Observe GRB 25	regular	786	Observe GRB 25 90 times	30	30	600	1	3	0.1	theodolite	colored	cooled	y	n	y	y	y	n	y	y
274	Observe Supernova 58	regular	15	Observe Supernova 58 63 times	30	30	600	1	3	0.1	fork	mono	cooled	y	y	y	n	y	n	n	y
275	Observe Exoplanets 88	regular	224	Observe Exoplanets 88 72 times	30	30	600	1	3	0.1	fork	mono	cooled	y	y	y	n	y	n	y	n
276	Observe Supernova 59	regular	326	Observe Supernova 59 98 times	30	30	600	1	3	0.1	german	colored	uncooled	n	y	y	y	y	y	y	y
277	Observe Exoplanets 89	transient	236	Observe Exoplanets 89 88 times	30	30	600	1	3	0.1	theodolite	mono	cooled	y	y	y	y	y	y	y	y
278	Observe Star 34	regular	866	Observe Star 34 65 times	30	30	600	1	3	0.1	fork	mono	uncooled	y	y	y	n	n	y	n	y
279	Observe Star 35	regular	238	Observe Star 35 44 times	30	30	600	1	3	0.1	fork	colored	cooled	y	y	y	y	y	y	y	y
280	Observe GRB 26	regular	404	Observe GRB 26 48 times	30	30	600	1	3	0.1	theodolite	colored	cooled	y	y	y	y	y	y	y	y
281	Observe GRB 27	regular	981	Observe GRB 27 48 times	30	30	600	1	3	0.1	fork	colored	cooled	n	y	y	y	y	y	n	y
282	Observe Exoplanets 90	regular	12	Observe Exoplanets 90 20 times	30	30	600	1	3	0.1	fork	mono	cooled	y	y	y	n	y	n	n	y
283	Observe Galaxy 38	regular	293	Observe Galaxy 38 61 times	30	30	600	1	3	0.1	fork	mono	cooled	n	y	y	y	n	y	y	y
284	Observe Exoplanets 91	target_of_opportunity	812	Observe Exoplanets 91 86 times	30	30	600	1	3	0.1	fork	mono	uncooled	y	y	y	n	y	y	n	y
285	Observe Exoplanets 92	regular	853	Observe Exoplanets 92 87 times	30	30	600	1	3	0.1	german	colored	uncooled	y	y	y	y	y	y	n	y
286	Observe Exoplanets 93	regular	952	Observe Exoplanets 93 91 times	30	30	600	1	3	0.1	german	mono	cooled	y	y	y	n	y	y	y	y
287	Observe Star 36	regular	212	Observe Star 36 19 times	30	30	600	1	3	0.1	german	mono	cooled	y	y	n	y	y	y	y	y
288	Observe Supernova 60	target_of_opportunity	204	Observe Supernova 60 49 times	30	30	600	1	3	0.1	fork	mono	uncooled	y	y	y	y	y	y	y	y
289	Observe Star 37	regular	442	Observe Star 37 97 times	30	30	600	1	3	0.1	fork	mono	cooled	y	y	y	y	y	y	y	y
290	Observe Supernova 61	regular	82	Observe Supernova 61 25 times	30	30	600	1	3	0.1	fork	mono	cooled	y	y	y	y	y	n	y	y
291	Observe Comet 15	regular	943	Observe Comet 15 59 times	30	30	600	1	3	0.1	fork	mono	cooled	y	y	y	y	y	y	y	y
292	Observe Exoplanets 94	regular	181	Observe Exoplanets 94 8 times	30	30	600	1	3	0.1	theodolite	mono	cooled	y	y	y	y	y	y	n	y
293	Observe Exoplanets 95	regular	24	Observe Exoplanets 95 25 times	30	30	600	1	3	0.1	fork	mono	uncooled	y	y	y	y	y	y	y	y
294	Observe Exoplanets 96	regular	910	Observe Exoplanets 96 12 times	30	30	600	1	3	0.1	theodolite	colored	cooled	y	n	y	y	y	y	y	y
295	Observe Galaxy 39	regular	13	Observe Galaxy 39 13 times	30	30	600	1	3	0.1	fork	mono	cooled	y	n	y	y	y	y	y	y
296	Observe Supernova 62	regular	882	Observe Supernova 62 82 times	30	30	600	1	3	0.1	fork	mono	cooled	y	y	y	n	y	y	y	y
297	Observe Exoplanets 97	regular	416	Observe Exoplanets 97 63 times	30	30	600	1	3	0.1	fork	mono	uncooled	n	y	n	y	n	n	n	y
298	Observe Supernova 63	transient	415	Observe Supernova 63 31 times	30	30	600	1	3	0.1	german	mono	cooled	y	n	y	y	y	y	n	y
299	Observe Exoplanets 98	regular	624	Observe Exoplanets 98 29 times	30	30	600	1	3	0.1	german	mono	cooled	y	y	n	y	y	n	y	n
300	Observe GRB 28	regular	625	Observe GRB 28 66 times	30	30	600	1	3	0.1	fork	mono	uncooled	y	y	y	y	y	y	y	y
301	Observe Exoplanets 99	regular	876	Observe Exoplanets 99 26 times	30	30	600	1	3	0.1	german	mono	uncooled	y	y	y	y	y	y	y	y
302	Observe Star 38	target_of_opportunity	546	Observe Star 38 74 times	30	30	600	1	3	0.1	fork	mono	uncooled	y	y	y	y	n	y	y	y
303	Observe Galaxy 40	regular	846	Observe Galaxy 40 82 times	30	30	600	1	3	0.1	fork	mono	cooled	y	y	y	y	n	n	y	y
304	Observe Supernova 64	target_of_opportunity	159	Observe Supernova 64 35 times	30	30	600	1	3	0.1	fork	mono	uncooled	y	y	y	y	y	y	n	y
305	Observe Star 39	regular	743	Observe Star 39 37 times	30	30	600	1	3	0.1	fork	mono	cooled	y	y	y	y	n	y	n	y
306	Observe GRB 29	regular	502	Observe GRB 29 49 times	30	30	600	1	3	0.1	german	mono	cooled	y	y	n	n	y	y	y	n
307	Observe Galaxy 41	regular	35	Observe Galaxy 41 1 times	30	30	600	1	3	0.1	german	mono	uncooled	n	n	y	y	y	y	y	y
308	Observe Exoplanets 100	regular	117	Observe Exoplanets 100 95 times	30	30	600	1	3	0.1	fork	mono	cooled	y	y	y	y	y	y	y	y
309	Observe Supernova 65	regular	409	Observe Supernova 65 58 times	30	30	600	1	3	0.1	german	mono	cooled	y	y	y	n	n	n	y	y
310	Observe Galaxy 42	regular	954	Observe Galaxy 42 72 times	30	30	600	1	3	0.1	german	mono	cooled	n	y	y	n	y	y	y	y
311	Observe Exoplanets 101	regular	456	Observe Exoplanets 101 67 times	30	30	600	1	3	0.1	german	colored	uncooled	y	y	y	y	y	y	y	y
312	Observe Exoplanets 102	regular	160	Observe Exoplanets 102 79 times	30	30	600	1	3	0.1	theodolite	mono	cooled	y	y	y	y	y	y	y	y
313	Observe GRB 30	regular	172	Observe GRB 30 99 times	30	30	600	1	3	0.1	fork	mono	uncooled	y	y	y	y	y	n	y	y
314	Observe Galaxy 43	regular	480	Observe Galaxy 43 25 times	30	30	600	1	3	0.1	german	mono	uncooled	y	y	y	n	y	y	y	y
315	Observe Supernova 66	regular	948	Observe Supernova 66 77 times	30	30	600	1	3	0.1	german	mono	cooled	y	y	y	y	y	y	y	n
316	Observe Exoplanets 103	regular	847	Observe Exoplanets 103 34 times	30	30	600	1	3	0.1	fork	mono	cooled	y	y	y	y	y	n	y	y
317	Observe Exoplanets 104	regular	581	Observe Exoplanets 104 0 times	30	30	600	1	3	0.1	theodolite	mono	cooled	y	n	n	y	y	n	y	y
318	Observe Exoplanets 105	regular	230	Observe Exoplanets 105 74 times	30	30	600	1	3	0.1	fork	mono	cooled	y	y	n	y	y	y	y	y
319	Observe Supernova 67	regular	819	Observe Supernova 67 8 times	30	30	600	1	3	0.1	fork	colored	cooled	y	y	y	y	y	y	y	y
320	Observe Asteriods 22	regular	25	Observe Asteriods 22 41 times	30	30	600	1	3	0.1	theodolite	colored	cooled	y	y	n	y	n	y	y	y
321	Observe Exoplanets 106	regular	291	Observe Exoplanets 106 79 times	30	30	600	1	3	0.1	theodolite	colored	cooled	y	y	y	y	y	y	y	y
322	Observe Exoplanets 107	regular	805	Observe Exoplanets 107 8 times	30	30	600	1	3	0.1	german	mono	uncooled	n	y	y	y	y	y	y	y
323	Observe Galaxy 44	regular	420	Observe Galaxy 44 60 times	30	30	600	1	3	0.1	theodolite	mono	uncooled	n	y	y	y	y	n	y	y
324	Observe Exoplanets 108	regular	143	Observe Exoplanets 108 63 times	30	30	600	1	3	0.1	theodolite	colored	uncooled	y	y	n	y	y	y	y	n
325	Observe Galaxy 45	target_of_opportunity	284	Observe Galaxy 45 75 times	30	30	600	1	3	0.1	german	colored	uncooled	y	y	y	y	y	y	y	n
326	Observe Exoplanets 109	target_of_opportunity	565	Observe Exoplanets 109 22 times	30	30	600	1	3	0.1	german	mono	cooled	y	y	y	y	y	y	y	y
327	Observe Supernova 68	regular	393	Observe Supernova 68 78 times	30	30	600	1	3	0.1	german	mono	uncooled	y	y	y	n	y	y	y	y
328	Observe Exoplanets 110	target_of_opportunity	173	Observe Exoplanets 110 67 times	30	30	600	1	3	0.1	fork	mono	cooled	y	y	n	y	y	y	y	y
329	Observe GRB 31	regular	917	Observe GRB 31 10 times	30	30	600	1	3	0.1	theodolite	mono	cooled	y	y	y	y	y	y	y	y
330	Observe Supernova 69	regular	146	Observe Supernova 69 12 times	30	30	600	1	3	0.1	german	mono	uncooled	y	y	y	y	y	y	n	y
331	Observe Supernova 70	regular	39	Observe Supernova 70 58 times	30	30	600	1	3	0.1	german	mono	cooled	n	y	n	y	y	y	y	y
332	Observe Exoplanets 111	regular	820	Observe Exoplanets 111 60 times	30	30	600	1	3	0.1	german	mono	cooled	y	y	n	y	y	n	y	y
333	Observe Supernova 71	regular	343	Observe Supernova 71 12 times	30	30	600	1	3	0.1	fork	mono	cooled	y	n	y	y	n	y	y	n
334	Observe Star 40	regular	232	Observe Star 40 1 times	30	30	600	1	3	0.1	theodolite	mono	cooled	y	y	y	y	y	y	y	y
335	Observe Exoplanets 112	target_of_opportunity	824	Observe Exoplanets 112 98 times	30	30	600	1	3	0.1	german	mono	cooled	y	n	n	y	y	y	y	n
336	Observe Exoplanets 113	transient	149	Observe Exoplanets 113 95 times	30	30	600	1	3	0.1	fork	colored	uncooled	y	n	y	y	n	y	y	y
337	Observe Exoplanets 114	regular	951	Observe Exoplanets 114 22 times	30	30	600	1	3	0.1	theodolite	colored	cooled	y	n	y	y	y	y	y	y
338	Observe Star 41	transient	373	Observe Star 41 51 times	30	30	600	1	3	0.1	fork	colored	uncooled	n	y	y	n	y	y	n	y
339	Observe Galaxy 46	regular	932	Observe Galaxy 46 90 times	30	30	600	1	3	0.1	fork	mono	uncooled	n	y	y	y	y	y	n	n
340	Observe Supernova 72	regular	825	Observe Supernova 72 18 times	30	30	600	1	3	0.1	german	mono	uncooled	y	n	n	y	y	y	y	y
341	Observe Galaxy 47	regular	980	Observe Galaxy 47 19 times	30	30	600	1	3	0.1	german	mono	uncooled	y	y	y	y	y	y	y	y
342	Observe Galaxy 48	regular	742	Observe Galaxy 48 24 times	30	30	600	1	3	0.1	fork	mono	cooled	y	n	y	y	y	n	y	n
343	Observe Exoplanets 115	regular	654	Observe Exoplanets 115 72 times	30	30	600	1	3	0.1	fork	mono	cooled	n	y	n	n	y	y	y	y
344	Observe Galaxy 49	transient	908	Observe Galaxy 49 31 times	30	30	600	1	3	0.1	fork	mono	uncooled	y	y	y	n	n	y	y	y
345	Observe Galaxy 50	transient	660	Observe Galaxy 50 98 times	30	30	600	1	3	0.1	german	mono	cooled	y	y	n	y	y	n	n	y
346	Observe Asteriods 23	regular	441	Observe Asteriods 23 67 times	30	30	600	1	3	0.1	fork	mono	cooled	y	y	y	y	n	y	y	y
347	Observe Supernova 73	regular	790	Observe Supernova 73 32 times	30	30	600	1	3	0.1	theodolite	mono	cooled	y	y	y	y	y	y	y	y
348	Observe GRB 32	regular	120	Observe GRB 32 23 times	30	30	600	1	3	0.1	fork	colored	cooled	y	y	y	y	y	y	y	y
349	Observe Supernova 74	regular	791	Observe Supernova 74 5 times	30	30	600	1	3	0.1	fork	mono	uncooled	y	y	n	y	y	y	y	y
350	Observe Exoplanets 116	target_of_opportunity	600	Observe Exoplanets 116 77 times	30	30	600	1	3	0.1	theodolite	mono	cooled	y	y	y	y	y	y	n	n
351	Observe Asteriods 24	regular	416	Observe Asteriods 24 32 times	30	30	600	1	3	0.1	german	mono	cooled	y	y	n	y	y	y	n	n
352	Observe Exoplanets 117	target_of_opportunity	434	Observe Exoplanets 117 5 times	30	30	600	1	3	0.1	fork	colored	cooled	y	y	y	y	y	n	y	y
353	Observe Star 42	regular	882	Observe Star 42 43 times	30	30	600	1	3	0.1	german	mono	cooled	y	y	y	y	y	y	y	n
354	Observe Star 43	regular	563	Observe Star 43 35 times	30	30	600	1	3	0.1	fork	colored	cooled	y	y	y	y	n	y	y	n
355	Observe Galaxy 51	regular	979	Observe Galaxy 51 16 times	30	30	600	1	3	0.1	fork	mono	uncooled	y	y	n	y	y	y	y	y
356	Observe Star 44	regular	38	Observe Star 44 57 times	30	30	600	1	3	0.1	fork	mono	uncooled	n	n	n	y	y	y	y	y
357	Observe Galaxy 52	regular	911	Observe Galaxy 52 50 times	30	30	600	1	3	0.1	german	colored	cooled	y	y	y	y	y	y	y	y
358	Observe Exoplanets 118	transient	563	Observe Exoplanets 118 90 times	30	30	600	1	3	0.1	fork	colored	cooled	n	y	n	y	y	y	y	n
359	Observe Star 45	transient	999	Observe Star 45 73 times	30	30	600	1	3	0.1	german	mono	uncooled	y	y	y	n	y	y	y	y
360	Observe Exoplanets 119	transient	175	Observe Exoplanets 119 70 times	30	30	600	1	3	0.1	fork	mono	uncooled	y	n	y	y	y	y	y	n
361	Observe Comet 16	regular	830	Observe Comet 16 46 times	30	30	600	1	3	0.1	fork	mono	cooled	y	y	n	y	y	y	y	y
362	Observe Supernova 75	regular	830	Observe Supernova 75 47 times	30	30	600	1	3	0.1	fork	mono	uncooled	y	y	y	y	y	y	y	y
363	Observe Star 46	regular	442	Observe Star 46 57 times	30	30	600	1	3	0.1	german	colored	uncooled	y	y	n	y	y	n	y	n
364	Observe Asteriods 25	regular	823	Observe Asteriods 25 19 times	30	30	600	1	3	0.1	fork	mono	cooled	n	y	y	y	y	n	y	y
365	Observe Exoplanets 120	transient	611	Observe Exoplanets 120 18 times	30	30	600	1	3	0.1	theodolite	colored	cooled	y	y	n	y	y	y	y	n
366	Observe Star 47	regular	254	Observe Star 47 10 times	30	30	600	1	3	0.1	german	mono	uncooled	y	y	y	y	y	n	n	y
367	Observe Exoplanets 121	regular	243	Observe Exoplanets 121 92 times	30	30	600	1	3	0.1	theodolite	colored	cooled	y	y	y	y	y	y	y	n
368	Observe GRB 33	regular	983	Observe GRB 33 94 times	30	30	600	1	3	0.1	theodolite	mono	uncooled	y	y	y	y	y	n	y	y
369	Observe Galaxy 53	transient	759	Observe Galaxy 53 36 times	30	30	600	1	3	0.1	fork	mono	cooled	y	n	y	y	y	y	n	y
370	Observe Star 48	regular	756	Observe Star 48 52 times	30	30	600	1	3	0.1	theodolite	mono	uncooled	y	y	y	y	n	n	y	y
371	Observe Supernova 76	regular	908	Observe Supernova 76 30 times	30	30	600	1	3	0.1	fork	mono	cooled	y	y	n	y	y	y	y	y
372	Observe Galaxy 54	regular	24	Observe Galaxy 54 5 times	30	30	600	1	3	0.1	fork	colored	cooled	y	y	n	y	y	n	y	n
373	Observe Exoplanets 122	regular	590	Observe Exoplanets 122 18 times	30	30	600	1	3	0.1	fork	colored	cooled	y	y	y	y	y	y	y	y
374	Observe Star 49	regular	663	Observe Star 49 58 times	30	30	600	1	3	0.1	fork	mono	cooled	y	y	y	y	y	y	y	y
